  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
135   0.543096E+00   0.348961E+03   0.127752E+01   0.832819E+00   0.948696E+00   0.404157E-01   0.372593E-01   0.370030E-01   0.139984E+01
136   0.550389E+00   0.353647E+03   0.126857E+01   0.828119E+00   0.941969E+00   0.399476E-01   0.368416E-01   0.365958E-01   0.138575E+01
137   0.557711E+00   0.358352E+03   0.125952E+01   0.823406E+00   0.935153E+00   0.394819E-01   0.364271E-01   0.361938E-01   0.137170E+01
138   0.565064E+00   0.363076E+03   0.125039E+01   0.818688E+00   0.928233E+00   0.390262E-01   0.360162E-01   0.357961E-01   0.135771E+01
139   0.572445E+00   0.367819E+03   0.124116E+01   0.813969E+00   0.921201E+00   0.385750E-01   0.356086E-01   0.354065E-01   0.134378E+01
140   0.579855E+00   0.372580E+03   0.123183E+01   0.809251E+00   0.914066E+00   0.381276E-01   0.352043E-01   0.350302E-01   0.132993E+01
141   0.587293E+00   0.377359E+03   0.122241E+01   0.804538E+00   0.906850E+00   0.376881E-01   0.348042E-01   0.346643E-01   0.131616E+01
142   0.594759E+00   0.382156E+03   0.121292E+01   0.799826E+00   0.899572E+00   0.372452E-01   0.344081E-01   0.343057E-01   0.130245E+01
143   0.602252E+00   0.386971E+03   0.120335E+01   0.795114E+00   0.892246E+00   0.367997E-01   0.340157E-01   0.339538E-01   0.128879E+01
144   0.609771E+00   0.391802E+03   0.119373E+01   0.790400E+00   0.884879E+00   0.363652E-01   0.336274E-01   0.336037E-01   0.127515E+01
145   0.617317E+00   0.396651E+03   0.118406E+01   0.785682E+00   0.877480E+00   0.359327E-01   0.332432E-01   0.332494E-01   0.126148E+01
146   0.624888E+00   0.401515E+03   0.117437E+01   0.780959E+00   0.870047E+00   0.354997E-01   0.328629E-01   0.328934E-01   0.124775E+01
147   0.632484E+00   0.406396E+03   0.116467E+01   0.776232E+00   0.862574E+00   0.350765E-01   0.324867E-01   0.325412E-01   0.123393E+01
148   0.640105E+00   0.411293E+03   0.115496E+01   0.771498E+00   0.855060E+00   0.346549E-01   0.321139E-01   0.321902E-01   0.121999E+01
149   0.647750E+00   0.416205E+03   0.114525E+01   0.766759E+00   0.847526E+00   0.342344E-01   0.317444E-01   0.318376E-01   0.120593E+01
150   0.655419E+00   0.421133E+03   0.113552E+01   0.762023E+00   0.840004E+00   0.338199E-01   0.313786E-01   0.314888E-01   0.119175E+01
151   0.663110E+00   0.426075E+03   0.112576E+01   0.757299E+00   0.832522E+00   0.334050E-01   0.310166E-01   0.311453E-01   0.117745E+01
152   0.670824E+00   0.431031E+03   0.111596E+01   0.752601E+00   0.825096E+00   0.329947E-01   0.306582E-01   0.308071E-01   0.116309E+01
153   0.678561E+00   0.436002E+03   0.110607E+01   0.747940E+00   0.817734E+00   0.325942E-01   0.303043E-01   0.304791E-01   0.114868E+01
154   0.686318E+00   0.440987E+03   0.109610E+01   0.743321E+00   0.810432E+00   0.321901E-01   0.299548E-01   0.301601E-01   0.113425E+01
155   0.694097E+00   0.445985E+03   0.108603E+01   0.738750E+00   0.803172E+00   0.317908E-01   0.296098E-01   0.298475E-01   0.111981E+01
156   0.701896E+00   0.450996E+03   0.107588E+01   0.734229E+00   0.795944E+00   0.314049E-01   0.292698E-01   0.295401E-01   0.110540E+01
157   0.709715E+00   0.456020E+03   0.106565E+01   0.729757E+00   0.788750E+00   0.310172E-01   0.289346E-01   0.292381E-01   0.109102E+01
158   0.717554E+00   0.461057E+03   0.105534E+01   0.725334E+00   0.781590E+00   0.306329E-01   0.286039E-01   0.289475E-01   0.107670E+01
159   0.725411E+00   0.466106E+03   0.104497E+01   0.720962E+00   0.774468E+00   0.302575E-01   0.282785E-01   0.286669E-01   0.106247E+01
